url,한글title,영문title,스크린뷰
https://m.lottecard.co.kr/spa/card/cards/common/card-application-timeout,카드>신용카드>카드정보,spa>card>cards>common>card-application-timeout,15120
https://m.lottecard.co.kr/spa/card/card-apl/card-password,카드>신용카드>비밀번호설정,spa>card>card-apl>card-password,14983
https://mweb2.lottecard.co.kr/app/LPMALAA_V300.lc,기프트샷,app>LPMALAA_V300.lc,14954
https://mweb2.lottecard.co.kr/spa/mydata/service-join/app-signup-mydata-join,마이데이터>자산연결>간편한 계좌 관리,spa>mydata>service-join>app-signup-mydata-join,14905
https://mweb2.lottecard.co.kr/app/PaymentTypeQrcodeFragment,로카페이>결제>현장결제>QR코드,로카페이>결제>현장결제>QR코드,14885
https://mweb2.lottecard.co.kr/spa/my/document-application,MY>서류발급신청>서류발급신청,spa>my>document-application,14875
https://mweb2.lottecard.co.kr/spa/card/gift-card,카드>선불카드>상품권/기프트카드,spa>card>gift-card,14474
https://mweb2.lottecard.co.kr/app/LPOPBBB_V100.lc,오픈뱅킹>계좌&middot;카드,app>LPOPBBB_V100.lc,14474
https://mweb2.lottecard.co.kr/app/LPBNFTE_V000.lc,혜택>플랜할인,app>LPBNFTE_V000.lc,14279
https://m.lottecard.co.kr/spa/card/cards/credit/application/ocr-id-verification,카드>카드안내/신청>OCR촬영,spa>card>cards>credit>application>ocr-id-verification,14210
https://mweb2.lottecard.co.kr/app/LPBNFBA_V102.lc,혜택>포인트/마일리지조회,app>LPBNFBA_V102.lc,13976
https://m.lottecard.co.kr/landing/kakaoLanding03.jsp,기타>카드사용알림랜딩>이용금액입금내역,landing>kakaoLanding03.jsp,13956
https://m.lottecard.co.kr/app/LPMBRAB_V100.lc,MEMBERS>MobileWeb로그인>로그인,app>LPMBRAB_V100.lc,13946
https://mweb2.lottecard.co.kr/app/SimpleNumberSettingActivity,로그인>간편번호로그인>간편번호확인,로그인>간편번호로그인>간편번호확인,13819
https://mweb2.lottecard.co.kr/app/MobilePhoneAuthFragment,로그인>간편번호로그인>휴대폰인증,로그인>간편번호로그인>휴대폰인증,13800
https://mweb2.lottecard.co.kr/front/benefit/partners/lgu/apply/,혜택>파트너>LGU플러스>신청,front>benefit>partners>lgu>apply,13760
https://m.lottecard.co.kr/spa/card/card-apl/card-application-end,카드>신용카드>신청완료,spa>card>card-apl>card-application-end,13604
https://mweb2.lottecard.co.kr/front/finance/loans/long-term/repayment/apply,금융>장기카드대출>상환신청,front>finance>loans>long-term>repayment>apply,13457
https://mweb2.lottecard.co.kr/spa/my/usage-limit-down,MY>이용한도하향>이용한도하향,spa>my>usage-limit-down,13350
https://mweb2.lottecard.co.kr/native/PaymentTypeQrcodeFragment,로카페이>결제>현장결제>QR코드_인증후,로카페이>결제>현장결제>QR코드_인증후,13203
https://mweb2.lottecard.co.kr/spa/my/card-password-change,"MY>카드비밀번호등록,변경>카드비밀번호등록,변경정보입력",spa>my>card-password-change,13164
https://mweb2.lottecard.co.kr/app/LPCVNDB_V100.lc,생활편의>해외이용안심설정,app>LPCVNDB_V100.lc,13154
https://mweb2.lottecard.co.kr/spa/mydata/personal-data-account/myaccount/income-detail,마이데이터>계좌_입금/출금>수입내역,spa>mydata>personal-data-account>myaccount>income-detail,13056
https://mweb2.lottecard.co.kr/front/satellite/main/card,카드>메인,front>satellite>main>card,12665
https://mweb2.lottecard.co.kr/app/CardAuthFullFragment,,로그인>간편번호로그인>카드인증,12597
https://locashop.lottecard.co.kr/display/brand,띵샵>전시>브랜드,display>brand,12548
https://mweb2.lottecard.co.kr/app/BottomSheetNotiBoxApprovalDialog,로카알리미>알림함,메인>로카알리미>알림함,12440
https://dars.lottecard.co.kr/spa/my/usage-limit-gate,DARS>MY>이용한도게이트페이지>이용한도게이트페이지,spa>my>usage-limit-gate,12401
https://dars.lottecard.co.kr/app/LPMCDCB_V100.lc,DARS>MY>즉시결제,app>LPMCDCB_V100.lc,12333
https://selly.lottecard.co.kr/front/main/,셀리>메인,front>main,12254
https://mweb2.lottecard.co.kr/spa/my/account-change-cert,MY>결제계좌조회/변경>결제계좌조회/변경공동인증,spa>my>account-change-cert,12127
https://mweb2.lottecard.co.kr/app/LPPAYCA_V100.lc,정기결제>안심쇼핑>안심쇼핑_미가입,app>LPPAYCA_V100.lc,12078
https://mweb2.lottecard.co.kr/app/LPCUFAA_V100.lc,생활편의>큐핏>큐핏,app>LPCUFAA_V100.lc,12049
https://mweb2.lottecard.co.kr/app/AppCardRegSignViewController,회원>회원가입>결제서명등록,회원>회원가입>결제서명등록,12020
https://dars.lottecard.co.kr/spa/my/usage-billing,DARS>MY>이용대금명세서>이용대금명세서,spa>my>usage-billing,12010
https://mweb2.lottecard.co.kr/front/benefit/app-tech/ads/watch,혜택>앱태크>광고>시계,front>benefit>app-tech>ads>watch,11912
https://mweb2.lottecard.co.kr/spa/mydata/personal-data-account/myaccount/detail,마이데이터>계좌_내계좌>계좌_전체거래내역,마이데이터>계좌_내계좌>입출금>상세,11756
https://dars.lottecard.co.kr/app/LPMCDCB_V210.lc,DARS>MY>즉시결제>결제방법선택,app>LPMCDCB_V210.lc,11609
https://m.lottecard.co.kr/spa/card/card-apl/card-stt-inf,카드>신용카드>결제정보,spa>card>card-apl>card-stt-inf,11599
https://mweb2.lottecard.co.kr/app/CardManagementPaymentFragment,로카페이>설정>등록카드관리_결제수단,로카페이>설정>등록카드관리_결제수단,11482
https://mweb2.lottecard.co.kr/spa/my/noti-service/card-usage-noti,MY>알림서비스>가입전,spa>my>noti-service>card-usage-noti,11364
https://selly.lottecard.co.kr/event/smallBizOwner/policyFunds,셀리>소상공인진흥정책정책자금이벤트,event>smallBizOwner>policyFunds,11237
https://m.lottecard.co.kr/app/LPBNFDA_V300.lc,혜택>이벤트>이벤트상세,app>LPBNFDA_V300.lc,11169
https://mweb2.lottecard.co.kr/spa/my/document-application/utilization-itemization,MY>서류발급신청>이용내역확인서,spa>my>document-application>utilization-itemization,10993
https://m.lottecard.co.kr/spa/card/card-apl/card-use-notification,카드>신용카드>카드사용내역 알림,spa>card>card-apl>card-use-notification,10983
